Gift Messages are not applicable for empty cart,Wiadomości upominkowe nie dotyczą pustego koszyka
Gift Messages are not applicable for virtual products,Wiadomości upominkowe nie dotyczą produktów wirtualnych
Gift Message is not available,Wiadomość na prezent jest niedostępna
Could not add gift message to shopping cart,Nie można dodać wiadomości prezentowej do koszyka
There is no item with provided id in the cart,W koszyku nie ma przedmiotu o podanym identyfikatorze
There is no product with provided  itemId: %1 in the cart,Nie ma produktu z podanym itemId: %1 w koszyku
There is no item with provided id in the order,W zamówieniu nie ma elementu o podanym identyfikatorze
There is no item with provided id in the order or gift message isn't allowed,Nie ma elementu z podanym identyfikatorem w zamówieniu lub wiadomość podarunkowa nie jest dozwolona
"Could not add gift message to order: ""%1""","Nie można dodać wiadomości na prezent do zamówienia: "" %1"""
There is no order with provided id or gift message isn't allowed,Brak zamówienia z podanym identyfikatorem lub wiadomością podarunkową jest niedozwolone
There is no order with provided id,Nie ma zamówienia z podanym identyfikatorem
Gift Messages are not applicable for empty order,Wiadomości upominkowe nie dotyczą pustego zamówienia
"Could not add gift message to order's item: ""%1""","Nie można dodać wiadomości podarunkowej do elementu zamówienia: "" %1"""
Unknown entity type,Nieznany typ jednostki
Test label,Etykieta testowa
Use Config Settings,Użyj ustawień konfiguracji
From,Od
To,Do
Message,Wiadomość
Cancel,Anuluj
OK,ok
Gift Options,Opcje upominków
Gift Message,Wiadomość na prezent
Do you have any gift items in your order?,Czy masz jakieś prezenty w zamówieniu?
Add Gift Options,Dodaj opcje prezentów
Gift Options for the Entire Order,Opcje upominków dla całego zamówienia
Leave this box blank if you don't want to leave a gift message for the entire order.,"Pozostaw to pole puste, jeśli nie chcesz zostawiać wiadomości prezentowej dla całego zamówienia."
Gift Options for Individual Items,Opcje upominków dla poszczególnych przedmiotów
<span>Item %1</span> of %2,<span> Element %1 </ span> z %2
Leave a box blank if you don't want to add a gift message for that item.,"Pozostaw pole puste, jeśli nie chcesz dodawać wiadomości prezentowej dla tego przedmiotu."
Add Gift Options for the Entire Order,Dodaj opcje prezentu dla całego zamówienia
You can leave this box blank if you don't want to add a gift message for this address.,"Możesz zostawić to pole puste, jeśli nie chcesz dodawać wiadomości podarunkowej dla tego adresu."
Add Gift Options for Individual Items,Dodaj opcje upominków dla poszczególnych przedmiotów
You can leave this box blank if you don't want to add a gift message for the item.,"Możesz zostawić to pole puste, jeśli nie chcesz dodawać wiadomości prezentowej dla przedmiotu."
Gift Message (optional),Wiadomość na prezent (opcjonalnie)
To:,Do:
From:,Od:
Message:,Wiadomość:
Update,Aktualizacja
Gift options,Opcje upominków
Edit,Edytować
Delete,Kasować
Allow Gift Messages on Order Level,Zezwalaj na wiadomości prezentowe na poziomie zamówienia
Allow Gift Messages for Order Items,Zezwalaj na wiadomości upominkowe dla elementów zamówienia
