No token found.,Nie znaleziono tokena.
Wrong request.,Zła prośba.
Deletion failure. Please try again.,Błąd usuwania. Proszę spróbuj ponownie.
Stored Payment Method was successfully removed,Zapisana metoda płatności została pomyślnie usunięta
Stored Payment Methods,Przechowywane metody płatności
No available payment tokens for specified order payment.,Brak dostępnych tokenów płatności dla określonej płatności za zamówienie.
Card Number,Numer karty
Expiration Date,Termin ważności
Type,Rodzaj
You have no stored payment methods.,Nie masz zapisanych metod płatności.
ending,kończący się
Actions,działania
Delete,Kasować
PayPal Account,Konto paypal
Cancel,Anuluj
